id_palabra,"Palabra","id_cronista","id_texto","cita","pagina"
7001,"aclla",7,"T7001","... aclla camayoc…",226
7002,"aclla camayoc",7,"T7002","…  aclla camayoc, panpa camayoc, coca camayoc, pilco llama camayoc, llama camayoc",226v
7003,"Andes",7,"T7003","... reçiben notable daño y agravio en compeler como compelen los españoles a los yndios serranos a baxar a los llanos, tierra caliente, a alquilarse en las obras de los españoles con conoçido peligro de muerte y en espeçial a labrar la coca en los Andes y otras tierras calientes lo qual no se hazia en tiempo de los Yngas ni la labravan sino los naturales de las tierras calientes y era muy poca. ",232v
7004,"Andesuyo",7,"T7004","...para cuatro partes deste reino en que lo dividió… uno [Apocuna] en Chincha-suyo y otro para Colla-suyo y otro para Conde-suyo y otro para Ande-suyo.",224v
7005,"antayquilla",7,"T7005","Cori camayoc, colque camayoc, antayquilla camayoc",226
7006,"Apoconas",7,"T7006","Y puso en el Cuzco, que era cabeça, quatro juezes que llamavan Apocones [sic por Apoconas] que eran como de su consejo para quatro partes deste reyno en [que] lo dividió, cada uno en la suya que llamavan Suyo…",224v
7006,"Apoconas",7,"T7007","… se han consumido los señorios de los Apoconas y Hunos que aunque se diga que por la mudança que ha avido y ay del govierno no son necesarios, seria justo que en recompensa dellos se les diesen algunas otras cosas o les hiziesen merçedes. ",228v
7007,"apocunas",7,"T7008","Los señores [sic por señoríos] de los quatro apoconas y hunos no se heredavan sino que los dava el Ynga a capitanes y curacas y gente prinçipal que lo mereçia por valentia y prudençia y serviçios que le avian hecho aunque si los hijos destos tenian meritos y edad y abilidad se los dava.",224v
7008,"Auca camayos",7,"T7009","De los señores suso dichos y curacas todos los yndios de las comunidades Auca camayos que en su lengua quiere dezir gente de guerra o más propiamente de armas tomar, las quales y no otra gente [se ocupaba] [f 227] en hazer todo lo suso dicho… ",226v-227
7008,"Auca camayos",7,"T7010","… en tiempo de los Yngas ninguno pagava tributo de su hazienda ni tributavan más que en una cosa, está muy claro y fáçil de entender: que aunque todos servian al Ynga, solo se han de contar oy por tributarios para Su Magestad + o para el encomendero los que trabajavan actualmente con sus manos de trabajo corporal que solos son los Auca camayos que quiere dezir gente hábil para la guerra, o gentes de armas tomar, y asi de veinte y çinco años hasta çinquenta poco mas o menos; porque esto no se puede negar que es arbitrario. ",229
7009,"cachi",7,"T7011","… cachi camayoc…",226
7010,"cachi camayoc",7,"T7012","Llipta camayoc, Uchu camayoc, Cachi camayoc, Chichi camayoc, Cara [sic por Çara] camayoc, Michca camayoc. ",226v
7011,"caçicazgos",7,"T7013","… ha proveido Su Magestad + que a todos los señores y caçiques se los [sic] vuelvan enteramente sus señorios y caçicazgos …",221
7011,"caçicazgos",7,"T7014","Si los hijos eran habiles y de edad siempre suçedian en los caçicazgos y si el mayor no era habil y el segundo lo era se le dava a este y si no avia hijos habiles y con edad, suçedia el hermano del curaca muerto y lo tenia mientras bivia. Y muerto este no sucedia su hijo sino el sobrino que avia de heredar si fuera abil y de edad.",224v
7011,"caçicazgos",7,"T7015","… de a donde se entiende la diferençia que oy ay entre los caçiques y sus sujetos que los caçiques dizen y pruevan que por razon de los señorios y caçicazgos les davan cantidad de ropa y otras cosas, y los yndios a ellos sujetos dizen y pruevan que no les solian dar cosa alguna mas que yndios de serviçio los quales les hazian la ropa y otras cosas y la comunidad entendia en hazerles sus casas y labrarles sus chacaras. ",228
7012,"cacique",7,"T7016","… Y que aviendo muchos españoles que tienen a mil y a dos mil y algunos a diez mil bacas y veynte mil cabezas de otros ganados, no ay yndio que tenga seis bacas [f 223] ni çien ovejas si no es algun caçique…",223
7013,"caçique",7,"T7017","… podria tributar el caçique a cada encomendero con los tributos de los yndios que tienen encomendados …",221
7014,"caciques",7,"T7018"," Y en esto entendian todos los yndios el tiempo que les cabia y era necesario para ello, el qual es cosa conocida que siendo como eran tantos les cabia muy poco a cada uno. Y en este tiempo se sustentavan de la hazienda de el mesmo Ynga o de los caçiques a quien servian  ...",223v
